row_id,KQI_Degradate_Flag,E_RAB_Estab.-SR,RRC_Recon._rate,RRC_Estab.-SR,DL_PRB_avg_Utilz._rate,Maximum_num_of_users,Mean_num_of_users,UL_PRB_avg_Utilz._rate,UE_Context_DR,E_RAB_Context_DR,DL_avg_Pckt_delay,Inner_HO-SR,X2_HO-SR,RSRP_Coverage_rate,CQI_up_seven,RSSI,Avg_distance
0,1,2,0,2,2,2,2,2,2,2,0,2,2,0,0,2,1
1,1,2,0,2,2,2,2,2,0,0,2,2,2,0,0,2,2
2,1,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2
3,1,0,0,2,2,2,2,2,2,2,0,2,2,0,0,2,2
4,1,2,0,2,2,2,2,1,2,2,0,2,2,0,0,2,2
5,1,0,0,2,2,2,2,2,0,0,0,2,0,2,0,1,2
6,1,1,0,2,2,2,2,2,0,0,0,2,1,2,0,1,2
7,1,1,0,2,2,2,2,2,0,0,0,2,1,2,0,1,2
8,1,1,0,1,2,2,2,2,0,0,0,2,0,2,0,1,2
9,1,1,0,1,2,2,2,2,0,0,0,2,1,2,0,1,2
10,1,1,0,2,2,2,2,2,2,2,2,0,2,0,2,2,1
11,1,2,2,2,2,2,2,2,2,2,0,2,2,0,1,2,1
12,1,2,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2
13,1,2,0,1,2,2,2,2,0,0,1,2,2,0,1,2,2
14,1,2,2,1,2,2,2,2,2,2,0,2,2,0,0,2,0
15,1,2,2,0,2,2,2,2,2,2,2,1,2,0,2,1,1
16,1,1,0,2,2,2,2,2,0,0,0,0,2,2,0,1,2
17,1,2,0,2,2,2,2,2,0,0,0,2,2,2,0,1,2
18,1,1,1,1,2,2,2,2,0,0,2,2,2,0,0,2,2
19,1,2,1,1,2,2,2,2,2,2,2,2,2,0,1,2,0
20,1,2,0,0,2,2,2,2,0,0,2,0,2,0,0,2,2
21,1,0,0,1,2,2,2,2,0,0,0,2,2,2,0,1,2
22,1,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,0
23,1,0,0,1,2,2,2,2,0,0,0,2,2,2,0,1,2
24,1,2,0,2,2,2,2,2,0,2,2,0,0,1,2,2,0
25,1,2,1,2,2,2,2,2,0,0,2,2,2,0,0,2,2
26,1,0,0,1,2,2,2,2,0,0,0,2,1,2,0,1,2
27,1,1,0,1,2,2,2,2,2,2,2,1,2,1,2,1,2
28,1,0,0,1,2,2,2,2,0,0,0,2,1,2,0,1,2
29,1,1,0,1,2,2,2,2,0,1,0,2,1,2,0,1,2
30,1,0,0,1,2,2,2,2,0,0,0,2,1,2,0,1,2
31,1,2,0,2,2,2,2,2,0,0,0,1,2,2,0,1,2
32,1,2,2,2,2,2,2,2,0,0,2,1,2,0,0,2,2
33,1,1,0,2,2,2,2,2,0,0,0,2,0,2,0,1,2
34,1,1,0,1,2,2,2,2,0,0,0,2,2,2,0,1,2
35,1,1,0,2,2,2,2,2,0,0,0,2,2,2,0,1,2
36,1,2,0,1,2,2,2,1,0,0,0,2,2,0,0,2,1
37,1,1,0,1,2,2,2,2,0,0,0,0,1,2,1,1,2
38,1,2,0,1,2,2,2,2,0,0,0,2,1,2,1,1,2
39,1,1,0,0,2,2,2,2,0,0,2,2,2,0,0,2,2
